state_name,year,detail,male,female,total
Haryana,2001,Escapees from Outside Prison,2,0,2
Haryana,2001,Escapees from Police Custody,7,0,7
Haryana,2001,Re-arrested escapees,2,0,2
Haryana,2002,Escapees from Inside Prison,0,0,0
Haryana,2002,Escapees from Outside Prison,0,0,0
Haryana,2002,Escapees from Police Custody,0,0,0
Haryana,2002,Re-arrested escapees,0,0,0
Haryana,2003,Escapees from Inside Prison,10,0,10
Haryana,2003,Escapees from Outside Prison,2,0,2
Haryana,2003,Escapees from Police Custody,2,0,2
Haryana,2003,Re-arrested escapees,0,0,0
Haryana,2004,Escapees from Inside Prison,0,0,0
Haryana,2004,Escapees from Outside Prison,1,0,1
Haryana,2004,Escapees from Police Custody,11,0,11
Haryana,2004,Re-arrested escapees,0,0,0
Haryana,2005,Escapees from Inside Prison,1,0,1
Haryana,2005,Escapees from Outside Prison,0,0,0
Haryana,2005,Escapees from Police Custody,12,0,12
Haryana,2005,Re-arrested escapees,0,0,0
Haryana,2006,Escapees from Inside Prison,1,0,1
Haryana,2006,Escapees from Outside Prison,0,0,0
Haryana,2006,Escapees from Police Custody,16,0,16
Haryana,2006,Re-arrested escapees,4,0,4
Haryana,2007,Escapees from Inside Prison,1,0,1
Haryana,2007,Escapees from Outside Prison,1,0,1
Haryana,2007,Escapees from Police Custody,7,0,7
Haryana,2007,Re-arrested escapees,1,0,1
Haryana,2008,Escapees from Inside Prison,0,0,0
Haryana,2008,Escapees from Outside Prison,0,0,0
Haryana,2008,Escapees from Police Custody,5,0,5
Haryana,2008,Re-arrested escapees,2,0,2
Haryana,2009,Escapees from Inside Prison,4,0,4
Haryana,2009,Escapees from Outside Prison,0,0,0
Haryana,2009,Escapees from Police Custody,13,0,13
Haryana,2009,Re-arrested escapees,2,0,2
Haryana,2010,Escapees from Inside Prison,0,0,0
Haryana,2010,Escapees from Outside Prison,1,0,1
Haryana,2010,Escapees from Police Custody,36,0,36
Haryana,2010,Re-arrested escapees,19,0,19
Haryana,2011,Escapees from Inside Prison,0,0,0
Haryana,2011,Escapees from Outside Prison,0,0,0
Haryana,2011,Escapees from Police Custody,24,0,24
Haryana,2011,Re-arrested escapees,3,0,3
Haryana,2012,Escapees from Inside Prison,8,0,8
